Name,Rating,Rating_count,Description,highly_rated_for
TCS,3.3,(1.1L),IT Services & Consulting | Hyderabad / Secunderabad +437 other locations,Job Security
Accenture,3.7,(70.6k),IT Services & Consulting | Hyderabad / Secunderabad +254 other locations,
Wipro,3.6,(62.7k),IT Services & Consulting | Hyderabad / Secunderabad +370 other locations,
Cognizant,3.6,(59.6k),IT Services & Consulting | Hyderabad / Secunderabad +229 other locations,
Capgemini,3.7,(51.2k),IT Services & Consulting | Hyderabad / Secunderabad +183 other locations,"Work Life Balance, Job Security"
HDFC Bank,3.8,(50.1k),Banking | Hyderabad / Secunderabad +1814 other locations,"Job Security, Skill Development / Learning"
Infosys,3.5,(46.9k),IT Services & Consulting | Hyderabad / Secunderabad +244 other locations,Job Security
ICICI Bank,4.0,(45k),Banking | Hyderabad / Secunderabad +1436 other locations,"Job Security, Promotions / Appraisal, Skill Development / Learning"
HCLTech,3.4,(44.2k),IT Services & Consulting | Hyderabad / Secunderabad +226 other locations,
Tech Mahindra,3.4,(42.1k),IT Services & Consulting | Hyderabad / Secunderabad +336 other locations,
Genpact,3.6,(40.5k),IT Services & Consulting | Hyderabad / Secunderabad +182 other locations,Job Security
Teleperformance,3.8,(36.3k),BPO | Hyderabad / Secunderabad +254 other locations,
Axis Bank,3.6,(32.1k),Banking | Hyderabad / Secunderabad +1497 other locations,
Jio,4.3,(31.6k),Telecom | Hyderabad / Secunderabad +1858 other locations,"Job Security, Skill Development / Learning, Company Culture"
Concentrix Corporation,3.6,(31.3k),BPO | Hyderabad / Secunderabad +178 other locations,Job Security
Amazon,3.9,(30.5k),Internet | Hyderabad / Secunderabad +521 other locations,"Company Culture, Work Life Balance, Salary & Benefits"
iEnergizer,4.6,(27.3k),BPO | Hyderabad / Secunderabad +51 other locations,"Company Culture, Work Life Balance, Work Satisfaction"
Reliance Retail,3.9,(26.8k),Retail | Hyderabad / Secunderabad +1147 other locations,"Job Security, Skill Development / Learning, Work Life Balance"
LTIMindtree,3.6,(25.4k),IT Services & Consulting | Hyderabad / Secunderabad +146 other locations,
IBM,3.9,(25.2k),IT Services & Consulting | Hyderabad / Secunderabad +160 other locations,"Work Life Balance, Company Culture, Job Security"
HDB Financial Services,3.9,(25k),NBFC | Hyderabad / Secunderabad +1085 other locations,"Job Security, Skill Development / Learning"
Larsen & Toubro Limited,3.9,(23.1k),Engineering & Construction | Hyderabad / Secunderabad +752 other locations,"Job Security, Skill Development / Learning"
Deloitte,3.7,(22.2k),Management Consulting | Hyderabad / Secunderabad +185 other locations,
Kotak Mahindra Bank,3.6,(21.7k),Banking | Hyderabad / Secunderabad +682 other locations,
Reliance Industries,4.0,(19.7k),Oil & Gas | Hyderabad / Secunderabad +810 other locations,"Job Security, Work Life Balance, Skill Development / Learning"
Vodafone Idea,3.9,(17.4k),Telecom | Hyderabad / Secunderabad +701 other locations,"Salary & Benefits, Company Culture, Work Life Balance"
Bharti Airtel,3.8,(16.7k),Telecom | Hyderabad / Secunderabad +786 other locations,
BYJU'S,3.2,(16.6k),EdTech | Hyderabad / Secunderabad +322 other locations,
WNS,3.3,(14.7k),IT Services & Consulting | Hyderabad / Secunderabad +65 other locations,
AU Small Finance Bank,3.9,(13.9k),Banking | Hyderabad / Secunderabad +775 other locations,"Work Life Balance, Job Security, Skill Development / Learning"
Tata Motors,4.1,(13.9k),Automobile | Hyderabad / Secunderabad +507 other locations,"Job Security, Company Culture, Work Life Balance"
IDFC FIRST Bank,3.9,(13.8k),Banking | Hyderabad / Secunderabad +709 other locations,"Salary & Benefits, Skill Development / Learning"
Ernst & Young,3.4,(13.8k),Management Consulting | Hyderabad / Secunderabad +131 other locations,
